gate,sum_gc,sum_depth,carry_gc,carry_depth
+000-000-,31,6,6,4
0+-0-+--0,18,5,9,4
+0-+-00+0,7,4,10,4
0-+0+--0-,8,4,8,4
+-00-+00-,21,5,9,4
+0-0+-0-0,18,5,9,4
00--+0+-0,8,4,7,4
+-0-+0-0-,14,5,22,5
+-0--++0-,18,5,19,5
+0--+-+-0,24,5,23,5
+0-+-+0+-,20,5,11,5
0+-0-0+0-,15,5,7,4
0-+-+++-0,13,5,12,4
+000+++--,16,5,15,5
0+-+---+0,18,5,11,4
0+--+++0-,17,5,15,5
+-00---+0,14,5,16,5
0-+0+---0,21,5,21,5
0+-0-+-0-,15,5,14,5
+-00-+++-,17,5,19,5
0+--+0+--,7,4,14,5
+0-0+--00,19,5,6,4
+-0-+00--,7,4,18,5
++00-++-0,15,5,15,5
+-+-+0+-0,19,5,25,6
++-0-+0+-,18,5,17,5
+000-++-0,8,4,7,3
+0+-+-0-0,10,4,17,5
0---+00+-,19,5,18,5
00-0+--+0,21,5,24,5
+-++-0-+0,16,5,16,5
+-+0-+0+-,16,5,18,5
0++0+-+0-,19,5,18,5
+--+-0-+0,14,5,16,5
0++0-++-0,15,5,22,5
0--0+--+0,18,5,22,5
0-+++0+-0,15,5,17,5
+0-0+00+-,14,5,6,4
+-0-+--+0,19,5,19,5
0-+++-0+-,18,5,14,5
+0---0+-0,18,5,17,5
+0-0-0+-0,18,5,8,4
0-+-+-0+-,15,5,20,5
+0-0+-0+0,17,5,8,4
+-0-+0-+-,21,5,18,5
0-+0+-++-,18,5,17,5
+0-+-0--0,19,5,19,5
+0-+-00-0,16,5,18,5
0-+0+--+-,20,5,21,5
0-++-0+00,21,5,16,5
+-0+-+-+0,14,5,18,5
0+-0+0+0-,15,5,8,4
+-0--0+0-,14,5,12,4
+-00-0+0-,16,5,6,4
0+-0+++0-,19,5,15,5
+-0+---+0,20,5,18,5
0-+0+++-0,17,5,8,4
+00-+++--,13,5,18,5
0+-0---+0,16,5,17,5
0+--+000-,8,4,7,3
0+-0-+++-,15,5,19,5
0+-0-+-+-,14,5,25,6
+0-0+-+00,20,5,8,4
+-0-+0+--,19,5,19,5
+-00-++00,15,5,15,5
0+--+00--,19,5,18,5
++00-++0-,19,5,17,5
00++-00+-,17,5,20,5
+0+0+-+-0,10,4,28,6
++-0-+-+0,13,5,14,5
00+-+0+0-,14,5,7,3
+000-+-+0,17,5,8,4
+0+-+-0+0,16,5,18,5
0---+0+0-,15,5,17,5
00+0+-+-0,19,5,42,6
0+00-++0-,20,5,17,5
+0+0-+-+0,22,5,14,5
0++-+0+0-,18,5,7,3
++00-0+--,17,5,19,5
+--0-+-+0,21,5,13,4
+0---+-+0,21,5,12,5
0-+++--+0,4,3,16,5
+0-0-0-+0,15,5,7,3
0-+-+-+0-,14,5,17,5
+-0-++0+-,7,4,24,5
+0-0-+0+0,17,5,10,4
0-+-+0-0-,21,5,16,5
+0-0-+--0,16,5,7,3
+0--+00-0,16,5,16,5
00-0+-+-0,19,5,12,4
+-00+--0-,19,5,18,5
+0-+-+-+0,21,5,21,5
+-0--+0+-,7,4,24,5
0-++---+0,4,3,16,5
0-+-+++0-,15,5,14,5
+0-0---+0,18,5,7,3
+0-0-+++0,19,5,15,5
0+-+-0-0-,16,5,28,6
+0-0-+-00,18,5,7,3
+-00+--00,12,5,16,5
+0--+00--,18,5,21,5
+-0-++-+-,15,5,17,5
0-+-+-++-,20,5,16,5
+0-0-0--0,16,5,7,3
+0---00-0,17,5,7,4
0-+++--+-,19,5,16,5
+-+--+0+-,15,5,16,5
+-++---+0,15,5,14,5
00+0+++-0,14,5,8,4
+000-+++0,17,5,8,4
00-+-0-0-,15,5,17,5
++00-++00,18,5,8,4
+0-0-00+0,10,4,7,3
0-+-+--0-,17,5,10,4
+0---+--0,19,5,17,5
+0-0+00-0,19,5,15,5
00--+-+-0,18,5,19,5
+-0-+--0-,18,5,19,5
+0++-+-+0,18,5,10,4
+0++-+0+-,16,5,14,5
0+00-0+0-,14,5,22,5
0++-+++-0,13,5,16,5
0++-+++0-,15,5,16,5
++-0-+++0,17,5,10,4
00+-+000-,11,4,7,3
++00-+++-,16,5,12,5
00++-000-,16,5,18,5
+000-+-00,11,4,8,4
+000+--00,24,5,19,5
+---+00--,16,5,17,5
0-+++-++-,18,5,14,5
+0---0--0,21,5,20,5
+0-0-00-0,12,5,8,4
0-+-+--+-,19,5,15,5
+-++-+-+0,21,5,14,5
+-++-+0+-,17,5,12,5
0++0+++0-,17,5,13,5
0++0+++-0,18,5,17,5
++00-+++0,19,5,18,5
+000+-+00,24,5,20,5
+000-++00,15,5,18,5
0++-++--0,11,5,4,3
++--+000-,17,5,6,4
0+00-+-+-,19,5,13,5
+00-+0+--,24,5,17,5
0++-+00--,19,5,8,4
++00-+-+-,16,5,22,5
+--0-++00,16,5,15,5
0+0-+-+-0,15,5,16,5
+00+---+0,18,5,6,4
0--0+++0-,20,5,8,4
0++0---+0,12,4,6,4
+-00+0-+-,19,5,7,4
+0--+-0+0,21,5,16,5
+0-++0--0,15,5,6,4
00-++0--0,14,5,9,4
+-0++-00-,17,5,8,4
+0-+-+0-0,20,5,18,5
++00+---0,7,4,18,5
0-+0+0-+-,18,5,17,5
0-++--+00,16,5,7,4
+-0-+-0+0,12,5,15,5
+0---0++0,19,5,7,3
0-+++-00-,16,5,11,4
0-+-+-0+0,13,5,15,5
+0-0++0--,13,5,20,5
+-00++0--,22,5,12,5
00-++--+0,17,5,7,4
+-+0-0-+0,18,5,20,5
+-+0-00+-,22,5,6,4
0+-+-0-00,19,5,37,6
+00+--0+-,17,5,6,4
0++0--+0-,16,5,6,4
0++0--+-0,10,4,19,5
++00-+--0,18,5,8,4
+-+-+00-0,14,5,20,5
++-0-+00-,20,5,19,5
+-+0+-0-0,18,5,7,4
+000+-+--,17,5,16,5
+000-++--,14,5,6,4
+-0--+0+0,14,5,20,5
0+-++0-0-,17,5,8,4
+0-0--++0,19,5,10,4
0-+-++00-,21,5,22,5
0-++--0+0,21,5,12,4
+-0++--00,19,5,21,5
+0-++00--,18,5,19,5
+0-+-+-00,7,4,20,5
0-0++--+0,19,5,12,4
0+0--++-0,17,5,12,4
++-0-0-+0,6,3,21,5
00+-+-+0-,5,3,22,5
+00--+-+0,16,5,22,5
00++--0+-,15,5,19,5
+--0-00-0,30,6,19,5
++00--+0-,18,5,19,5
+0+0--+-0,14,5,12,5
+0+0-+--0,15,5,10,4
0-0-++0+-,10,4,22,5
++--+00-0,18,5,19,5
00+0+-+--,13,5,20,5
0+00-++--,19,5,13,5
++--+00--,20,5,19,5
+0+0-+-00,16,5,7,3
0+00-+++-,15,5,14,5
++-0---+0,17,5,16,5
00+-+++0-,22,5,18,5
0+0-+++-0,19,5,18,5
0++0+++--,16,5,29,6
0-0+---+0,16,5,17,5
00++-+0+-,15,5,22,5
+00+-+-+0,20,5,10,4
+0+0+-0+0,6,4,10,4
0--0+0+0-,21,5,7,3
+0-++00-0,19,5,16,5
00-++-+-0,15,5,7,4
+-0++--0-,19,5,18,5
+0-+-+--0,13,5,17,5
+0-0--0+0,14,5,7,4
0-++--++0,20,5,7,4
+0-0-0++0,20,5,7,3
0-+-+-00-,17,5,10,4
0-+++-0+0,14,5,19,5
+-0-+--00,20,5,20,5
+0-0+00--,19,5,7,4
+0---+-00,22,5,18,5
0-+++0+--,16,5,16,5
0--++--+0,16,5,7,4
0++--++-0,16,5,7,4
+--0-0-+0,17,5,18,5
+0+--+-+0,16,5,20,5
0+00--+0-,16,5,20,5
+0+-+-+-0,16,5,18,5
0---+0++-,21,5,12,5
+000-+--0,17,5,7,4
0+-0+-+-0,17,5,22,5
+000+--0-,21,5,7,4
++-0-+0+0,18,5,10,4
00+-+0-0-,16,5,7,3
++00-++--,18,5,17,5
00++-00--,20,5,16,5
+0+0-+0-0,6,4,7,3
0-0+-+-+-,18,5,16,5
++-+-0--0,14,5,24,6
00+0+-++-,19,5,14,5
0-00+--+-,10,4,13,5
0+0+-0-+-,17,5,7,4
0--+-0+00,17,5,7,4
++---0-+0,11,4,22,5
00+++-+0-,17,5,20,5
0+0+-++-0,16,5,10,4
0-0-+--+0,17,5,17,5
++---0+-0,18,5,24,6
00+++-0+-,16,5,15,5
+0+0-0+-0,19,5,10,4
0-0-+-0+-,16,5,19,5
0-++---00,15,5,11,4
+--0++0+-,30,6,16,5
0+-++000-,16,5,7,4
+-0++---0,16,5,15,5
0+-0-0-+-,16,5,17,5
0-+-++0--,16,5,12,5
+0-0--+00,17,5,7,3
0+--++0--,15,5,19,5
+-00--+00,22,5,8,4
+-0+-+0+0,16,5,17,5
0+-0+0-0-,19,5,10,4
+-0--0++-,19,6,14,5
0-++-+0+0,17,5,19,5
0+--+-0-0,18,5,10,4
0+-0+++--,18,5,25,6
+0-+---00,18,5,16,5
0-+0+++--,8,4,18,5
++0--++-0,15,5,17,5
+-+0+0+-0,19,5,14,5
++0--+-+0,14,5,13,5
+0+-+00-0,20,5,6,4
0---++0+-,13,4,19,5
+000--+-0,16,5,7,4
+-++-00+0,10,4,17,5
+-+0-+0+0,14,5,7,3
0---+0+-0,9,4,18,5
0+0-+0-0-,6,4,7,4
0++0+-+--,16,5,23,5
0++0-++--,15,5,13,4
++00+-0+-,18,6,16,5
0+0+-0+-0,13,5,21,5
00+0+-0+-,17,5,15,5
0-00+-0+-,19,6,21,5
+--0+-0+-,18,5,20,5
0+0+-0-0-,16,5,17,5
0--+-0+-0,15,5,16,5
0+-++00+-,20,5,17,5
+-0--++-0,18,5,25,6
+-00+0+-0,14,5,15,5
+-0++-+-0,14,5,21,5
0+-0-00+-,12,5,17,5
0+-+--0+-,14,5,21,5
0+--++0+-,13,5,23,6
+-00--+-0,19,5,16,5
+-0+-00+0,19,6,16,5
0+-0+--0-,14,5,16,5
0+-0+-0-0,16,5,20,5
0+-0+-+--,18,5,21,6
00+0+-+0-,12,5,12,5
0+00-++-0,5,4,18,5
0-00+--+0,10,4,17,5
+--0+00-0,19,5,12,4
++00+-+0-,15,5,19,5
+0+0-++-0,17,5,14,5
+--0-+0+-,15,5,15,5
+0++--0+0,20,5,13,5
0--+-0+0-,14,5,12,4
+0-++00+-,19,5,18,5
+-0++--+0,18,5,22,5
0-+0+0+-0,16,5,20,5
0+-0-0-+0,19,5,19,5
0+-++0+0-,9,4,16,5
+-0--+-+0,18,5,18,5
+-00--+0-,22,5,20,5
+0-0--+-0,10,4,19,5
+0-0+-++0,16,5,12,4
+-0-+0++-,16,5,14,5
0-++-00+0,10,4,17,5
+-00-+0+0,20,5,20,5
0+--+0-0-,18,5,21,5
+0-+-0-00,22,5,13,5
0-+0+-+--,18,5,18,5
0+-0-++--,17,5,16,5
00++-0++0,21,5,12,4
+0-+-00--,19,5,20,5
0-0-+00+-,17,5,16,5
++--+-0-0,17,5,18,5
+-+--+00-,29,6,16,5
00+0+++--,17,5,16,5
+-++---00,16,5,18,5
0--+---+0,18,5,17,5
0+00+++--,19,5,14,5
0-0++---0,14,5,10,4
++00--+00,14,5,6,4
00--++0--,10,4,18,5
+0+0--+00,17,5,10,4
0-0-++0--,16,5,18,5
+00--+++0,14,5,8,4
+-+--+0+0,14,5,21,5
+00++00--,13,5,18,5
+--++--00,15,5,14,5
0++0+0+--,18,5,18,5
0--0+++-0,18,5,12,4
0+00++-0-,18,5,8,4
+-++--0+0,16,5,19,5
++0--+0+0,16,5,19,5
00-++0-0-,22,5,10,4
+000--++0,6,4,7,4
0---++00-,15,5,8,4
0+++--0+0,16,5,10,4
0+0-+0+0-,6,4,6,4
0---++0-0,19,5,17,5
++0--++00,10,4,17,5
0-0++--+-,16,5,20,5
+0+--00-0,17,5,8,4
++-0-0--0,19,5,19,5
00+-+-++-,8,4,18,5
00++--++-,19,5,16,5
++--+0--0,21,5,12,4
0-0-++-+-,15,5,14,5
+0+0--0-0,15,5,7,4
0-0-+-++-,20,5,16,5
+0+0-0--0,18,5,7,3
++---00-0,16,5,15,5
00+++--+-,19,5,20,6
+00-++-+-,27,6,11,5
++---0-00,21,5,16,5
00+++-+--,14,5,19,6
0+0+-++--,14,5,14,5
0-0-+0++-,16,5,18,5
++--+-+-0,20,5,16,5
00+0+++0-,17,5,16,5
0+00+++-0,16,5,18,5
